mapping_id,user_term,snomed_code,preferred_term
SNOMED-MAP-300001,shortness of breath (variant 1),2670360071,Dyspnea
SNOMED-MAP-300002,high fever (variant 2),3866610062,Fever
SNOMED-MAP-300003,sugar diabetes (variant 3),440540063,Type 2 Diabetes Mellitus
SNOMED-MAP-300004,penicillin allergy (variant 4),919360054,Allergy to Penicillin
SNOMED-MAP-300005,penicillin allergy (variant 0),919360055,Allergy to Penicillin
SNOMED-MAP-300006,kidney failure (variant 1),4322460066,Chronic Kidney Disease Stage 3
SNOMED-MAP-300007,high fever (variant 2),3866610067,Fever
SNOMED-MAP-300008,sulfa allergy (variant 3),919310008,Allergy to Sulfonamide
SNOMED-MAP-300009,high blood pressure (variant 4),383410039,Essential Hypertension
SNOMED-MAP-300010,gallbladder infection (variant 0),765810060,Acute Cholecystitis
SNOMED-MAP-300011,heart attack (variant 1),570540051,Acute Myocardial Infarction
SNOMED-MAP-300012,shortness of breath (variant 2),2670360072,Dyspnea
SNOMED-MAP-300013,high blood pressure (variant 3),383410033,Essential Hypertension
SNOMED-MAP-300014,high fever (variant 4),3866610064,Fever
SNOMED-MAP-300015,heart attack (variant 0),570540055,Acute Myocardial Infarction
SNOMED-MAP-300016,shortness of breath (variant 1),2670360076,Dyspnea
SNOMED-MAP-300017,high blood pressure (variant 2),383410037,Essential Hypertension
SNOMED-MAP-300018,high blood pressure (variant 3),383410038,Essential Hypertension
SNOMED-MAP-300019,sulfa allergy (variant 4),919310009,Allergy to Sulfonamide
SNOMED-MAP-300020,high blood pressure (variant 0),383410030,Essential Hypertension
SNOMED-MAP-300021,high blood pressure (variant 1),383410031,Essential Hypertension
SNOMED-MAP-300022,kidney failure (variant 2),4322460062,Chronic Kidney Disease Stage 3
SNOMED-MAP-300023,chest pain (variant 3),298570093,Chest Pain
SNOMED-MAP-300024,heart attack (variant 4),570540054,Acute Myocardial Infarction
SNOMED-MAP-300025,gallbladder infection (variant 0),765810065,Acute Cholecystitis
SNOMED-MAP-300026,gallbladder infection (variant 1),765810066,Acute Cholecystitis
SNOMED-MAP-300027,sugar diabetes (variant 2),440540067,Type 2 Diabetes Mellitus
SNOMED-MAP-300028,gallbladder infection (variant 3),765810068,Acute Cholecystitis
SNOMED-MAP-300029,high fever (variant 4),3866610069,Fever
SNOMED-MAP-300030,kidney failure (variant 0),4322460060,Chronic Kidney Disease Stage 3
SNOMED-MAP-300031,high fever (variant 1),3866610061,Fever
SNOMED-MAP-300032,penicillin allergy (variant 2),919360052,Allergy to Penicillin
SNOMED-MAP-300033,heart attack (variant 3),570540053,Acute Myocardial Infarction
SNOMED-MAP-300034,heart attack (variant 4),570540054,Acute Myocardial Infarction
SNOMED-MAP-300035,sulfa allergy (variant 0),919310005,Allergy to Sulfonamide
SNOMED-MAP-300036,sugar diabetes (variant 1),440540066,Type 2 Diabetes Mellitus
SNOMED-MAP-300037,chest pain (variant 2),298570097,Chest Pain
SNOMED-MAP-300038,heart attack (variant 3),570540058,Acute Myocardial Infarction
SNOMED-MAP-300039,penicillin allergy (variant 4),919360059,Allergy to Penicillin
SNOMED-MAP-300040,kidney failure (variant 0),4322460060,Chronic Kidney Disease Stage 3
SNOMED-MAP-300041,high fever (variant 1),3866610061,Fever
SNOMED-MAP-300042,chest pain (variant 2),298570092,Chest Pain
SNOMED-MAP-300043,gallbladder infection (variant 3),765810063,Acute Cholecystitis
SNOMED-MAP-300044,gallbladder infection (variant 4),765810064,Acute Cholecystitis
SNOMED-MAP-300045,high blood pressure (variant 0),383410035,Essential Hypertension
SNOMED-MAP-300046,gallbladder infection (variant 1),765810066,Acute Cholecystitis
SNOMED-MAP-300047,kidney failure (variant 2),4322460067,Chronic Kidney Disease Stage 3
